id,category
0,2
1,2
2,1
3,0
4,1
5,3
6,2
7,2
8,3
9,2
10,2
11,0
12,2
13,1
14,3
15,2
16,2
17,2
18,3
19,2
20,1
21,4
22,1
23,3
24,1
25,1
26,0
27,3
28,2
29,2
30,4
31,4
32,3
33,2
34,4
35,3
36,1
37,3
38,1
39,3
40,4
41,0
42,0
43,4
44,0
45,4
46,3
47,1
48,4
49,2
50,1
51,1
52,0
53,0
54,1
55,4
56,3
57,3
58,3
59,3
60,2
61,4
62,0
63,3
64,3
65,3
66,4
67,2
68,1
69,2
70,0
71,1
72,3
73,0
74,2
75,0
76,1
77,2
78,2
79,0
80,3
81,0
82,0
83,4
84,0
85,4
86,4
87,0
88,1
89,0
90,1
91,2
92,0
93,3
94,4
95,2
96,0
97,2
98,4
99,0
100,3
101,4
102,2
103,4
104,1
105,0
106,3
107,1
108,4
109,2
110,4
111,4
112,0
113,4
114,1
115,2
116,3
117,4
118,4
119,1
120,0
121,1
122,4
123,3
124,2
125,2
126,4
127,3
128,4
129,4
130,1
131,3
132,0
133,3
134,4
135,1
136,4
137,4
138,0
139,4
140,4
141,0
142,0
143,3
144,0
145,2
146,1
147,0
148,0
149,2
150,1
151,1
152,3
153,4
154,2
155,1
156,3
157,0
158,3
159,1
160,0
161,0
162,0
163,2
164,2
165,4
166,3
167,2
168,1
169,1
170,3
171,3
172,1
173,3
174,3
175,1
176,0
177,1
178,1
179,1
180,0
181,3
182,4
183,4
184,1
185,2
186,0
187,3
188,2
189,4
190,2
191,2
192,2
193,2
194,0
195,2
196,2
197,2
198,2
199,1
200,0
201,3
202,2
203,0
204,4
205,2
206,2
207,4
208,1
209,2
210,4
211,4
212,3
213,0
214,1
215,4
216,1
217,3
218,0
219,1
220,1
221,3
222,1
223,4
224,2
225,3
226,1
227,0
228,1
229,4
230,3
231,4
232,1
233,2
234,2
235,1
236,3
237,3
238,4
239,1
240,0
241,2
242,2
243,2
244,0
245,2
246,4
247,2
248,2
249,1
250,3
251,1
252,3
253,4
254,4
255,1
256,2
257,0
258,0
259,3
260,1
261,0
262,1
263,4
264,2
265,3
266,4
267,4
268,2
269,2
270,0
271,1
272,3
273,3
274,2
275,1
276,3
277,3
278,1
279,2
280,2
281,3
282,3
283,3
284,1
285,4
286,3
287,2
288,2
289,0
290,4
291,0
292,3
293,3
294,1
295,3
296,0
297,3
298,1
299,2
300,2
301,1
302,0
303,2
304,1
305,1
306,2
307,4
308,4
309,2
310,1
311,2
312,4
313,3
314,4
315,3
316,2
317,4
318,4
319,4
320,0
321,0
322,4
323,0
324,4
325,3
326,4
327,4
328,2
329,4
330,4
331,0
332,1
333,0
334,4
335,0
336,1
337,2
338,4
339,3
340,0
341,0
342,0
343,0
344,1
345,3
346,2
347,4
348,3
349,3
350,4
351,4
352,2
353,2
354,3
355,1
356,0
357,4
358,4
359,4
360,4
361,4
362,2
363,0
364,4
365,3
366,4
367,2
368,4
369,4
370,4
371,1
372,4
373,0
374,1
375,2
376,3
377,4
378,4
379,3
380,3
381,0
382,3
383,4
384,2
385,0
386,0
387,1
388,3
389,1
390,0
391,1
392,0
393,3
394,1
395,0
396,3
397,2
398,0
399,2
400,3
401,1
402,3
403,3
404,0
405,4
406,4
407,2
408,2
409,2
410,3
411,2
412,2
413,3
414,3
415,4
416,2
417,2
418,3
419,1
420,0
421,3
422,4
423,0
424,3
425,0
426,0
427,0
428,1
429,4
430,3
431,4
432,1
433,2
434,0
435,0
436,1
437,4
438,1
439,2
440,1
441,4
442,3
443,4
444,0
445,1
446,2
447,2
448,0
449,3
450,0
451,3
452,3
453,4
454,1
455,2
456,2
457,1
458,0
459,1
460,2
461,2
462,2
463,0
464,3
465,1
466,4
467,2
468,1
469,4
470,3
471,0
472,0
473,4
474,1
475,0
476,2
477,1
478,3
479,4
480,1
481,4
482,4
483,2
484,4
485,2
486,4
487,2
488,1
489,4
490,0
491,0
492,1
493,1
494,0
495,1
496,1
497,1
498,2
499,4
500,2
501,1
502,0
503,2
504,2
505,1
506,1
507,0
508,3
509,1
510,4
511,0
512,2
513,0
514,1
515,2
516,3
517,3
518,0
519,2
520,3
521,0
522,3
523,0
524,1
525,2
526,3
527,2
528,4
529,0
530,0
531,1
532,1
533,3
534,0
535,3
536,2
537,3
538,1
539,2
540,4
541,1
542,2
543,0
544,0
545,1
546,4
